cluster_id,id,title,author,doi
0,C_000040,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",10.1080/07421222.1996.11518120
0,C_000149,"Special Section: Competitive Strategy, Economics, and Information Systems","Clemons, Eric K. and Kauffman, Robert J. and Weber, Thomas A.",10.2753/MIS0742-1222260201
0,C_000272,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K.",10.1080/07421222.1991.11517918
0,C_000279,"Special Section: Competitive Strategy, Economics, and Information Systems","Clemons, Eric K. and Kauffman, Robert J. and Weber, Thomas A.",10.2753/MIS0742-1222270301
0,C_000288,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",10.1080/07421222.1994.11518037
0,C_000572,Special Section: Competitive and Strategic Value of Information Technology,"Clemons, Eric K.",10.1080/07421222.1990.11517886
0,C_000606,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",10.1080/07421222.1993.11517997
0,C_000782,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",10.1080/07421222.1995.11518078
0,C_000823,Special Section: Digital Economy and Information Technology Value,"Clemons, Eric K. and Dewan, Rajiv M. and Kauffman, Robert J.",10.2753/MIS0742-1222230201
0,C_000856,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",10.1080/07421222.1997.11518162
0,C_001103,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",10.1080/07421222.1999.11518242
0,C_001158,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",10.1080/07421222.1992.11517955
0,C_001334,Special Section: Strategic Information Systems,"Clemons, Eric K. and Weber, Bruce W.",10.1080/07421222.1998.11518205
0,C_001380,"Special Issue: Competitive Strategy, Economics, and Information Systems","CLEMONS, ERIC K. and DEWAN, RAJIV M. and KAUFFMAN, ROBERT J. and Editors, Guest",10.1080/07421222.2004.11045808
0,D_000175,Special Section - Competitive and Strategic Value of Information Technology,"Clemons, Eric K.",
0,D_000202,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K.",
0,D_000234,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",
0,D_000272,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",
0,D_000317,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",
0,D_000351,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",
0,D_000386,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",
0,D_000427,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",
